うしかい,Boo,213.918125,19.18727778,-1093.45,-1999.4,208.6713333,18.39858333,-60.95,-358.1
うしかい,Boo,208.6713333,18.39858333,-60.95,-358.1,207.3695833,15.79780556,-93.64,40.76
ちょうこくぐ,Cae,67.70875,-44.95375,2.44,-2.48,70.14091667,-41.86358333,-141.18,-74.95
ちょうこくぐ,Cae,70.14091667,-41.86358333,-141.18,-74.95,70.514375,-37.14477778,46.9,193.14
きりん,Cam,52.26720833,59.94033333,-0.82,-1.85,59.356,63.07225,7.58,6.01
きりん,Cam,59.356,63.07225,7.58,6.01,73.51254167,66.34266667,0.49,7.31
きりん,Cam,52.26720833,59.94033333,-0.82,-1.85,57.5895,71.33236111,18.27,-42
きりん,Cam,57.5895,71.33236111,18.27,-42,73.51254167,66.34266667,0.49,7.31
きりん,Cam,57.5895,71.33236111,18.27,-42,80.64075,79.23075,-78.6,161.13
やぎ,Cap,304.5134167,-12.54486111,61.78,2.85,305.2527083,-14.78138889,48.42,14
やぎ,Cap,305.2527083,-14.78138889,48.42,14,316.4865833,-17.23272222,79.64,-61.64
やぎ,Cap,316.4865833,-17.23272222,79.64,-61.64,320.5615833,-16.83455556,30.83,5.26
やぎ,Cap,320.5615833,-16.83455556,30.83,5.26,325.02225,-16.66225,187.39,-22.33
やぎ,Cap,325.02225,-16.66225,187.39,-22.33,326.7595417,-16.12655556,263.26,-296.23
やぎ,Cap,320.5615833,-16.83455556,30.83,5.26,321.6667917,-22.41138889,-2.61,18.88
やぎ,Cap,321.6667917,-22.41138889,-2.61,18.88,316.4865833,-17.23272222,79.64,-61.64
やぎ,Cap,305.2527083,-14.78138889,48.42,14,311.5240417,-25.27052778,-51.38,-156.66
やぎ,Cap,316.4865833,-17.23272222,79.64,-61.64,312.9554167,-26.91913889,-7.97,-2.54
りゅうこつ,Car,138.301,-69.71747222,-157.66,108.91,153.4345,-70.03791667,-35.73,7.55
りゅうこつ,Car,153.4345,-70.03791667,-35.73,7.55,160.7392917,-64.39447222,-18.87,12.06
りゅうこつ,Car,160.7392917,-64.39447222,-18.87,12.06,160.884625,-60.56663889,-15.22,3.12
りゅうこつ,Car,160.884625,-60.56663889,-15.22,3.12,167.1475,-58.97505556,-5.03,2.09
りゅうこつ,Car,167.1475,-58.97505556,-5.03,2.09,163.3732083,-58.85327778,79.75,38.65
りゅうこつ,Car,163.3732083,-58.85327778,79.75,38.65,156.9697917,-58.73941667,-13.25,2.21
りゅうこつ,Car,156.9697917,-58.73941667,-13.25,2.21,154.270875,-61.33233333,-24.25,6.38
りゅうこつ,Car,154.270875,-61.33233333,-24.25,6.38,139.272625,-59.27525,-19.03,13.11
りゅうこつ,Car,130.1543333,-59.76102778,-6.87,4.92,125.6285833,-59.50952778,-25.34,22.72
りゅうこつ,Car,125.6285833,-59.50952778,-25.34,22.72,95.987875,-52.69572222,19.99,23.67
りゅうこつ,Car,137.742125,-58.96691667,-17.67,14.14,139.272625,-59.27525,-19.03,13.11
りゅうこつ,Car,137.742125,-58.96691667,-17.67,14.14,130.1543333,-59.76102778,-6.87,4.92
りゅうこつ,Car,95.987875,-52.69572222,19.99,23.67,99.44029167,-43.19591667,-0.43,-3.99
りゅうこつ,Car,125.6285833,-59.50952778,-25.34,22.72,120.896125,-40.00319444,-30.82,16.77
カシオペヤ,Cas,28.59866667,63.67013889,31.98,-18.66,21.4525,60.23541667,297.24,-49.49
カシオペヤ,Cas,21.4525,60.23541667,297.24,-49.49,14.17708333,60.71675,25.65,-3.82
